ADMIN_CODE,LAND_USE_EN,LAND_USE_FR,POP_2015
HT0522-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,15834
HT0521-07,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,28057
HT0522-03,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,7360
HT0521-06,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,45842
HT0352-04,North Tubers and Horticulture,Nord tubercules et horticulture,6746
HT0632-03,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,19746
HT0752-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",5902
HT0752-02,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",9441
HT0151-03,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,8877
HT0113-04,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",13136
HT0911-03,North Tubers and Horticulture,Nord tubercules et horticulture,43228
HT0932-02,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,7101
HT0632-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,47835
HT0922-02,North Tubers and Horticulture,Nord tubercules et horticulture,13559
HT0352-01,North Tubers and Horticulture,Nord tubercules et horticulture,3253
HT0542-02,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,12840
HT0361-02,North Tubers and Horticulture,Nord tubercules et horticulture,14033
HT0221-06,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",2761
HT0541-02,Rice Plains of the Artibonite,Plaine rizicole de l'Artibonite,35064
HT0731-06,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,15151
HT0115-04,West Gardening and Beans,Ouest maraîchage et haricot,6447
HT0621-01,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,25640
HT0714-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8896
HT0723-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",1622
HT0611-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,21049
HT0753-04,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",4551
HT0913-01,North Tubers and Horticulture,Nord tubercules et horticulture,14961
HT0733-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",7345
HT0932-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,6793
HT0812-01,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",8377
HT0132-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",8474
HT0921-01,North Tubers and Horticulture,Nord tubercules et horticulture,10588
HT0362-02,North Tubers and Horticulture,Nord tubercules et horticulture,13593
HT0352-06,North Tubers and Horticulture,Nord tubercules et horticulture,11052
HT0131-04,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",11006
HT0321-04,North Tubers and Horticulture,Nord tubercules et horticulture,6647
HT0371-07,North Tubers and Horticulture,Nord tubercules et horticulture,7151
HT0361-05,North Tubers and Horticulture,Nord tubercules et horticulture,12052
HT0151-01,Dry Coastal Maize and Charcoal,Littoral sec maïs et charbon,11974
HT0362-01,North Tubers and Horticulture,Nord tubercules et horticulture,7622
HT0811-08,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",12038
HT0732-08,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",6141
HT0711-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",13098
HT0132-03,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",6489
HT0741-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",5616
HT0133-01,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",4787
HT0134-02,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",11795
HT0122-05,"South Beans, Bananas, and Petty Trade","Sud haricot, banane et petit commerce",3638
HT0321-05,North Tubers and Horticulture,Nord tubercules et horticulture,5018
HT0351-06,North Tubers and Horticulture,Nord tubercules et horticulture,8310
HT0323-01,North Tubers and Horticulture,Nord tubercules et horticulture,12472
HT0352-02,North Tubers and Horticulture,Nord tubercules et horticulture,5361
HT0621-02,Central Plateau Maize and Tubers,Plateau central maïs et tubercules,26246
HT0743-03,"Southwestern Coast Maize, Manioc, and Bush Products","Littoral sud-ouest maïs, manioc et cueillette",3960
